ticket_id,created_at,customer_id,customer_segment,channel,product_area,issue_type,priority,status,sla_plan,initial_message,agent_first_reply,resolution_summary,resolution_time_hours,reopened,customer_sentiment,csat_score,has_attachment,platform,region
TCKT_000034,2025-09-08 21:43:05,CUST_01694,education,email,data_export,how_to,low,on_hold,standard,How can I export my data from the data export section?,Happy to help with your question. We will look into this and get back to you within the next 48 hours.,,,0,positive,0,1,desktop_app,APAC
TCKT_000078,2025-09-15 08:07:23,CUST_00236,small_business,in_app,analytics_dashboard,bug,medium,closed_no_action,platinum,The analytics dashboard feature is not saving my changes.,Thanks for reporting this bug. Our team is reviewing this and will follow up within 24 hours.,Ticket closed without further action after no response from the customer.,68.28,0,neutral,4,0,android,
TCKT_000130,2025-09-06 10:23:53,CUST_09646,individual,web_form,data_export,performance,medium,closed_no_action,standard,Queries in the data export module are timing out.,We understand performance issues can be frustrating. Our team is reviewing this and will follow up within 24 hours.,Ticket closed without further action after no response from the customer.,208.51,0,negative,2,1,ios,
TCKT_000132,2025-09-05 04:40:51,CUST_01683,individual,chat,analytics_dashboard,other,low,closed_no_action,standard,"Something seems off, can you please check my workspace?",Thanks for contacting support. We will look into this and get back to you within the next 48 hours.,Ticket closed without further action after no response from the customer.,217.13,1,negative,0,0,android,MEA
TCKT_000224,2025-09-17 23:17:51,CUST_02325,education,email,analytics_dashboard,other,low,on_hold,gold,I need help but I'm not sure which category this fits in.,Thanks for contacting support. We will look into this and get back to you within the next 48 hours.,,,0,neutral,0,0,ios,APAC
TCKT_000259,2025-09-25 04:13:45,CUST_01142,education,phone_transcript,mobile_app,bug,medium,resolved,standard,I am seeing an error message when I click on mobile app.,Thanks for reporting this bug. Our team is reviewing this and will follow up within 24 hours.,Patched the bug and deployed a fix to production.,11.34,0,neutral,0,0,web,APAC
TCKT_000260,2025-09-17 12:58:58,CUST_03274,small_business,email,notifications,performance,medium,resolved,standard,The notifications page is very slow and takes a long time to load.,We understand performance issues can be frustrating. Our team is reviewing this and will follow up within 24 hours.,Optimized queries and increased resource allocation.,7.16,0,negative,3,0,web,APAC
TCKT_000272,2025-09-22 17:12:30,CUST_01864,education,phone_transcript,api_integration,feature_request,high,resolved,gold,It would be great to have api integration support in your product.,Thanks for your feature suggestion. We are prioritizing this and will update you as soon as possible.,Captured the request and added it to the product backlog.,21.54,1,negative,2,0,android,MEA
TCKT_000282,2025-09-26 09:06:56,CUST_07759,non_profit,chat,billing,billing_problem,low,in_progress,gold,I was charged twice for my subscription this month.,Thanks for reaching out about the billing issue. We will look into this and get back to you within the next 48 hours.,,,0,neutral,3,0,android,LATAM
TCKT_000416,2025-09-16 18:25:17,CUST_09678,education,phone_transcript,billing,billing_problem,low,resolved,standard,I downgraded my plan but I am still being billed for the higher tier.,Thanks for reaching out about the billing issue. We will look into this and get back to you within the next 48 hours.,Adjusted the invoice and issued a refund where applicable.,47.22,0,positive,4,1,api_client,EU
TCKT_000445,2025-09-20 02:26:44,CUST_07826,education,web_form,login_auth,how_to,low,resolved,gold,Can you explain how to configure login auth properly?,Happy to help with your question. We will look into this and get back to you within the next 48 hours.,Provided step-by-step instructions and relevant documentation.,17.64,0,very_positive,5,0,web,EU
TCKT_000476,2025-09-09 00:30:32,CUST_08612,non_profit,in_app,api_integration,billing_problem,low,closed_no_action,gold,I downgraded my plan but I am still being billed for the higher tier.,Thanks for reaching out about the billing issue. We will look into this and get back to you within the next 48 hours.,Ticket closed without further action after no response from the customer.,228.98,0,very_negative,2,0,desktop_app,APAC
TCKT_000482,2025-09-17 20:28:46,CUST_05603,education,web_form,data_export,security_concern,medium,resolved,gold,I noticed a suspicious login on my account.,We take security very seriously. Our team is reviewing this and will follow up within 24 hours.,"Investigated logs, mitigated the issue, and updated security settings.",29.02,0,very_negative,1,1,api_client,MEA
TCKT_000509,2025-09-03 09:41:58,CUST_06469,individual,chat,billing,feature_request,low,open,standard,Can you add an option to customize billing?,Thanks for your feature suggestion. We will look into this and get back to you within the next 48 hours.,,,0,neutral,4,1,desktop_app,APAC
TCKT_000761,2025-09-16 20:39:32,CUST_08809,individual,web_form,api_integration,bug,high,resolved,standard,The api integration feature is not saving my changes.,Thanks for reporting this bug. We are prioritizing this and will update you as soon as possible.,Patched the bug and deployed a fix to production.,3.75,0,positive,0,0,web,LATAM
TCKT_000807,2025-09-08 03:00:22,CUST_02751,individual,in_app,analytics_dashboard,feature_request,low,on_hold,standard,It would be great to have analytics dashboard support in your product.,Thanks for your feature suggestion. We will look into this and get back to you within the next 48 hours.,,,0,very_positive,0,0,ios,LATAM
TCKT_000826,2025-09-25 09:22:32,CUST_06035,enterprise,phone_transcript,analytics_dashboard,performance,medium,resolved,gold,The analytics dashboard page is very slow and takes a long time to load.,We understand performance issues can be frustrating. Our team is reviewing this and will follow up within 24 hours.,Optimized queries and increased resource allocation.,19.06,0,neutral,4,0,web,MEA
TCKT_000880,2025-09-18 19:48:58,CUST_01390,individual,phone_transcript,analytics_dashboard,security_concern,high,closed_no_action,standard,We need details about your data encryption and compliance.,We take security very seriously. We are prioritizing this and will update you as soon as possible.,Ticket closed without further action after no response from the customer.,114.86,1,negative,2,0,desktop_app,APAC
TCKT_000885,2025-09-18 10:11:10,CUST_05154,small_business,chat,login_auth,bug,high,resolved,platinum,I am seeing an error message when I click on login auth.,Thanks for reporting this bug. We are prioritizing this and will update you as soon as possible.,Patched the bug and deployed a fix to production.,22.31,0,positive,5,0,web,APAC
TCKT_000939,2025-09-11 00:50:50,CUST_05544,small_business,phone_transcript,api_integration,billing_problem,medium,resolved,gold,I was charged twice for my subscription this month.,Thanks for reaching out about the billing issue. Our team is reviewing this and will follow up within 24 hours.,Adjusted the invoice and issued a refund where applicable.,40.65,0,neutral,3,0,web,APAC
TCKT_000976,2025-09-17 08:05:09,CUST_08654,education,in_app,analytics_dashboard,performance,urgent,in_progress,standard,Overall performance has degraded in the last few days.,We understand performance issues can be frustrating. This has been escalated to our on-call team for immediate attention.,,,0,positive,5,0,ios,APAC
TCKT_000979,2025-09-09 20:32:37,CUST_02656,non_profit,email,mobile_app,other,high,resolved,standard,I have a general question about my account.,Thanks for contacting support. We are prioritizing this and will update you as soon as possible.,Provided general guidance and confirmed the issue was resolved.,17.87,0,neutral,4,0,android,MEA
TCKT_001141,2025-09-27 22:56:30,CUST_09644,education,in_app,data_export,other,urgent,resolved,standard,"Something seems off, can you please check my workspace?",Thanks for contacting support. This has been escalated to our on-call team for immediate attention.,Provided general guidance and confirmed the issue was resolved.,4.29,0,neutral,0,0,api_client,EU
TCKT_001144,2025-09-25 21:40:29,CUST_01846,non_profit,email,login_auth,performance,medium,resolved,standard,Overall performance has degraded in the last few days.,We understand performance issues can be frustrating. Our team is reviewing this and will follow up within 24 hours.,Optimized queries and increased resource allocation.,37.08,0,very_negative,1,0,api_client,
TCKT_001148,2025-09-02 02:25:31,CUST_05974,small_business,email,api_integration,performance,low,resolved,gold,The api integration page is very slow and takes a long time to load.,We understand performance issues can be frustrating. We will look into this and get back to you within the next 48 hours.,Optimized queries and increased resource allocation.,71.53,0,neutral,3,0,desktop_app,LATAM
TCKT_001212,2025-09-11 05:48:28,CUST_06851,enterprise,in_app,data_export,billing_problem,low,resolved,standard,I downgraded my plan but I am still being billed for the higher tier.,Thanks for reaching out about the billing issue. We will look into this and get back to you within the next 48 hours.,Adjusted the invoice and issued a refund where applicable.,42.8,0,neutral,0,0,web,MEA
TCKT_001248,2025-09-09 21:05:07,CUST_08491,education,web_form,billing,other,low,open,standard,I need help but I'm not sure which category this fits in.,Thanks for contacting support. We will look into this and get back to you within the next 48 hours.,,,0,negative,3,0,ios,LATAM
TCKT_001287,2025-09-11 05:24:57,CUST_06655,education,web_form,data_export,other,low,open,standard,I need help but I'm not sure which category this fits in.,Thanks for contacting support. We will look into this and get back to you within the next 48 hours.,,,0,negative,2,0,desktop_app,EU
TCKT_001356,2025-09-13 19:50:26,CUST_06812,enterprise,phone_transcript,api_integration,feature_request,medium,resolved,standard,It would be great to have api integration support in your product.,Thanks for your feature suggestion. Our team is reviewing this and will follow up within 24 hours.,Captured the request and added it to the product backlog.,43.63,0,negative,2,1,desktop_app,APAC
TCKT_001361,2025-09-03 19:23:06,CUST_03115,non_profit,phone_transcript,analytics_dashboard,performance,low,in_progress,gold,The analytics dashboard page is very slow and takes a long time to load.,We understand performance issues can be frustrating. We will look into this and get back to you within the next 48 hours.,,,0,neutral,4,1,web,LATAM
TCKT_001434,2025-09-22 20:00:25,CUST_02949,education,email,data_export,feature_request,high,resolved,gold,Can you add an option to customize data export?,Thanks for your feature suggestion. We are prioritizing this and will update you as soon as possible.,Captured the request and added it to the product backlog.,1.51,0,neutral,4,1,web,MEA
TCKT_001443,2025-09-08 06:54:15,CUST_03440,small_business,phone_transcript,mobile_app,billing_problem,high,resolved,standard,I was charged twice for my subscription this month.,Thanks for reaching out about the billing issue. We are prioritizing this and will update you as soon as possible.,Adjusted the invoice and issued a refund where applicable.,20.61,0,very_negative,0,0,api_client,
TCKT_001460,2025-09-05 11:53:44,CUST_04519,individual,web_form,analytics_dashboard,billing_problem,high,resolved,standard,I was charged twice for my subscription this month.,Thanks for reaching out about the billing issue. We are prioritizing this and will update you as soon as possible.,Adjusted the invoice and issued a refund where applicable.,13.6,0,very_negative,2,0,desktop_app,
TCKT_001483,2025-09-25 01:43:29,CUST_02475,enterprise,web_form,analytics_dashboard,how_to,low,open,gold,Can you explain how to configure analytics dashboard properly?,Happy to help with your question. We will look into this and get back to you within the next 48 hours.,,,0,positive,0,0,desktop_app,APAC
TCKT_001503,2025-09-12 17:36:14,CUST_06002,small_business,in_app,analytics_dashboard,how_to,medium,resolved,platinum,How can I export my data from the analytics dashboard section?,Happy to help with your question. Our team is reviewing this and will follow up within 24 hours.,Provided step-by-step instructions and relevant documentation.,36.34,0,negative,3,0,ios,MEA
TCKT_001508,2025-09-03 10:24:17,CUST_08412,non_profit,phone_transcript,api_integration,security_concern,high,on_hold,gold,I noticed a suspicious login on my account.,We take security very seriously. We are prioritizing this and will update you as soon as possible.,,,0,neutral,4,0,desktop_app,EU
TCKT_001539,2025-09-30 23:17:29,CUST_09538,non_profit,web_form,data_export,other,high,open,standard,I have a general question about my account.,Thanks for contacting support. We are prioritizing this and will update you as soon as possible.,,,0,very_positive,5,1,desktop_app,APAC
